"Id","Value","AdminConsentDisplayName","AdminConsentDescription"
"ebfcd32b-babb-40f4-a14b-42706e83bd28","AccessReview.Read.All","Read all access reviews that user can access","Allows the app to read access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization."
"e4aa47b9-9a69-4109-82ed-36ec70d85ff1","AccessReview.ReadWrite.All","Manage all access reviews that user can access","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization."
"5af8c3f5-baca-439a-97b0-ea58a435e269","AccessReview.ReadWrite.Membership","Manage access reviews for group and app memberships","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings for group and app memberships that the signed-in user has access to in the organization."
"9084c10f-a2d6-4713-8732-348def50fe02","Acronym.Read.All","Read all acronyms that the user can access","Allows an app to read all acronyms that the signed-in user can access."
"3361d15d-be43-4de6-b441-3c746d05163d","AdministrativeUnit.Read.All","Read administrative units","Allows the app to read administrative units and administrative unit membership on behalf of the signed-in user."
"7b8a2d34-6b3f-4542-a343-54651608ad81","AdministrativeUnit.ReadWrite.All","Read and write administrative units","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership on behalf of the signed-in user."
"af2819c9-df71-4dd3-ade7-4d7c9dc653b7","Agreement.Read.All","Read all terms of use agreements","Allows the app to read terms of use agreements on behalf of the signed-in user."
"ef4b5d93-3104-4664-9053-a5c49ab44218","Agreement.ReadWrite.All","Read and write all terms of use agreements","Allows the app to read and write terms of use agreements on behalf of the signed-in user."
"0b7643bb-5336-476f-80b5-18fbfbc91806","AgreementAcceptance.Read","Read user terms of use acceptance statuses","Allows the app to read terms of use acceptance statuses on behalf of the signed-in user."
"a66a5341-e66e-4897-9d52-c2df58c2bfb9","AgreementAcceptance.Read.All","Read terms of use acceptance statuses that user can access","Allows the app to read terms of use acceptance statuses on behalf of the signed-in user."
"859cceb9-2ec2-4e48-bcd7-b8490b5248a5","AiEnterpriseInteraction.Read","Read user AI enterprise interactions.","Allows the app to read user AI enterprise interactions, on behalf of the signed-in user."
"e03cf23f-8056-446a-8994-7d93dfc8b50e","Analytics.Read","Read user activity statistics","Allows the app to read the signed-in user's activity statistics, such as how much time the user has spent on emails, in meetings, or in chat sessions."
"1b6ff35f-31df-4332-8571-d31ea5a4893f","APIConnectors.Read.All","Read API connectors for authentication flows","Allows the app to read the API connectors used in user authentication flows, on behalf of the signed-in user."
"c67b52c5-7c69-48b6-9d48-7b3af3ded914","APIConnectors.ReadWrite.All","Read and write API connectors for authentication flows","Allows the app to read, create and manage the API connectors used in user authentication flows, on behalf of the signed-in user."
"88e58d74-d3df-44f3-ad47-e89edf4472e4","AppCatalog.Read.All","Read all app catalogs","Allows the app to read the apps in the app catalogs."
"1ca167d5-1655-44a1-8adf-1414072e1ef9","AppCatalog.ReadWrite.All","Read and write to all app catalogs","Allows the app to create, read, update, and delete apps in the app catalogs."
"3db89e36-7fa6-4012-b281-85f3d9d9fd2e","AppCatalog.Submit","Submit application packages to the catalog and cancel pending submissions","Allows the app to submit application packages to the catalog and cancel submissions that are pending review on behalf of the signed-in user."
"af281d3a-030d-4122-886e-146fb30a0413","AppCertTrustConfiguration.Read.All","Read the trusted certificate authority configuration for applications","Allows the app to read the trusted certificate authority configuration which can be used to restrict application certificates based on their issuing authority, on behalf of the signed-in user."
"4bae2ed4-473e-4841-a493-9829cfd51d48","AppCertTrustConfiguration.ReadWrite.All","Read and write the trusted certificate authority configuration for applications","Allows the app to create, read, update and delete the trusted certificate authority configuration which can be used to restrict application certificates based on their issuing authority, on behalf of the signed-in user."
"ffa91d43-2ad8-45cc-b592-09caddeb24bb","Application-RemoteDesktopConfig.ReadWrite.All","Read and write the remote desktop security configuration for apps","Allows the app to read and write other apps' remote desktop security configuration, on behalf of the signed-in user."
"c79f8feb-a9db-4090-85f9-90d820caa0eb","Application.Read.All","Read applications","Allows the app to read applications and service principals on behalf of the signed-in user."
"0586a906-4d89-4de8-b3c8-1aacdcc0c679","Application.ReadUpdate.All","Read and update all apps","Allows the app to read and update all apps in your organization, on behalf of the signed-in user."
